osm_id,name,type,wkt
3371584061,"C/70/A-180","yes","POINT(16.43835 50.269383)"
3371584062,"C/71/A-160","yes","POINT(16.438557 50.267863)"
3371584063,"C/72/A-140","yes","POINT(16.438693 50.266703)"
3371584064,"C/73/A-140","yes","POINT(16.43963 50.265347)"
3371584065,"C/74/A-180","yes","POINT(16.44034 50.264437)"
3371584066,"C/75/A-160","yes","POINT(16.440823 50.262783)"
3371584067,"C/76/A-120","yes","POINT(16.44087 50.261963)"
3371584068,"C/77/A-180","yes","POINT(16.44212 50.26088)"
3371584069,"C/78/A-160","yes","POINT(16.442707 50.259613)"
3371584070,"C/79/A-160","yes","POINT(16.44278 50.258307)"
3371584071,"C/80/A-140","yes","POINT(16.442233 50.255957)"
3371584072,"C/81/A-160","yes","POINT(16.442307 50.255233)"
3371584073,"C/82/A-140","yes","POINT(16.442203 50.25399)"
3371584074,"C/83/A-120","yes","POINT(16.442277 50.253013)"
3371584075,"C/84/A-180","yes","POINT(16.44362 50.25237)"
3371584076,"C/85/A-140","yes","POINT(16.444495 50.25142)"
3371584077,"C/86/A-160","yes","POINT(16.44567 50.25045)"
3371584078,"C/87/A-160","yes","POINT(16.44829 50.24898)"
3371584079,"C/88/A-180","yes","POINT(16.45005 50.2476)"
3371584080,"C/89/A-140","yes","POINT(16.451185 50.245295)"
3371584081,"C/90/A-160","yes","POINT(16.45304 50.243395)"
3371584082,"C/91/A-140","yes","POINT(16.45501 50.241855)"
3371584083,"C/92/A-160","yes","POINT(16.45731 50.240805)"
3371584084,"C/93/A-180","yes","POINT(16.46004 50.23958)"
3371584085,"C/94/A-140","yes","POINT(16.461945 50.23795)"
3371584086,"C/95/A-160","yes","POINT(16.463 50.23745)"
3371584087,"C/96/A-120","yes","POINT(16.46416 50.23665)"
3371584088,"C/97/A-160","yes","POINT(16.46633 50.236265)"
3371584089,"C/98/A-180","yes","POINT(16.469275 50.235515)"
3371584090,"C/99/A-120","yes","POINT(16.472145 50.233985)"
3371584091,"F1/1/A-140 Z","yes","POINT(16.162863 50.488105)"
3371584092,"F1/10/A-200","yes","POINT(16.16336 50.472)"
3371584093,"F1/11/A-160 Z","yes","POINT(16.1635 50.4701)"
3371584094,"F1/12/A-160","yes","POINT(16.16154 50.465297)"
3371584095,"F1/13/A-180","yes","POINT(16.162813 50.4628)"
3371584096,"F1/14/B1-100","yes","POINT(16.162604 50.460406)"
3371584097,"F1/15/A-180","yes","POINT(16.164785 50.4596)"
3371584098,"F1/16/A-180","yes","POINT(16.16709 50.458283)"
3371584099,"F1/17/A-120 Z","yes","POINT(16.166565 50.456067)"
3371584100,"F1/18/A-180","yes","POINT(16.16822 50.454354)"
3371584101,"F1/19/E","yes","POINT(16.167057 50.45291)"
3371584102,"F1/2/A-140","yes","POINT(16.1649 50.48443)"
3371584103,"F1/20/A-180","yes","POINT(16.170408 50.451508)"
3371584104,"F1/201/A-120","yes","POINT(16.162193 50.486517)"
3371584105,"F1/202/C2","yes","POINT(16.16112 50.48605)"
3371584106,"F1/203/A-120 Z","yes","POINT(16.160417 50.48502)"
3371584107,"F1/204/A-140","yes","POINT(16.15973 50.482415)"
3371584108,"F1/205/A-120 Z","yes","POINT(16.1576 50.479945)"
3371584109,"F1/206/B2-80","yes","POINT(16.157905 50.47749)"
3371584110,"F1/207/E","yes","POINT(16.15803 50.47651)"
3371584111,"F1/208/A-140","yes","POINT(16.157 50.47543)"
3371584112,"F1/209/A-120","yes","POINT(16.15729 50.47307)"
3371584113,"F1/21/A-120 Z","yes","POINT(16.16959 50.450095)"
3371584114,"F1/210/A-140","yes","POINT(16.158147 50.471683)"
3371584115,"F1/211/A-160","yes","POINT(16.159955 50.47031)"
3371584116,"F1/213/C1","yes","POINT(16.158243 50.462643)"
